"NFT ID","Issuer","Taxon","Serial","Name","URI","CID","Owner","Schema","Description","Image","Image CID","External_link","Video","Video CID","Attribute Background","Attribute Body","Attribute Clothing","Attribute Mouth","Attribute Eyebrows","Attribute Eyes","Attribute Head","Attribute Accessory"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE90A9689E000011E3","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4579","Let's Effing Go! #1137","ipfs://bafkreif2u6k5s5skmtp7wsqjznamjglkyddlfaxwjtpmrkawpbgmbxbrzm","bafkreif2u6k5s5skmtp7wsqjznamjglkyddlfaxwjtpmrkawpbgmbxbrzm","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeieck3uexkgqe2nofr4wauqujw3rf6mgehcsptrpe332xeb6av7voq","bafybeieck3uexkgqe2nofr4wauqujw3rf6mgehcsptrpe332xeb6av7voq","https://letseffinggo.com","","","Pale Purple","Curved Light","Flannel Purple","Expressive","Furious","Waffer Black","Long Straight Blonde","Wand"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE79C39B9D000011E2","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4578","Let's Effing Go! #1179","ipfs://bafkreigdeduz6tm4yrdtufpy5ftn2uefrsleseuup5ejfnxk4khnldw2tu","bafkreigdeduz6tm4yrdtufpy5ftn2uefrsleseuup5ejfnxk4khnldw2tu","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeihsfvllug32aax37vwyvbxr6aihcqq23s3ohbhzxihdxhbvrorfwm","bafybeihsfvllug32aax37vwyvbxr6aihcqq23s3ohbhzxihdxhbvrorfwm","https://letseffinggo.com","","","Gradient Bright","Curved Dark","Flannel Purple","Jovial","Interested","Sticky Face","Long Straight Blonde","Wand"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE62DDCA9C000011E1","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4577","Let's Effing Go! #1137","ipfs://bafkreictf5hnbd2m6ids7hvtnp4exxw6qstpluzxekklj3lqcdu5bb4usm","bafkreictf5hnbd2m6ids7hvtnp4exxw6qstpluzxekklj3lqcdu5bb4usm","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafkreich7oymarylddqwjhe6tjxqeerz5us3hqiirzzdeeohkmahicijwu","bafkreich7oymarylddqwjhe6tjxqeerz5us3hqiirzzdeeohkmahicijwu","https://letseffinggo.com","","","Pale Purple","Curved Light","Crop Hoodie Pink","Expressive","Furious","Waffer Black","Layered Brown","Bible"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE1E2C5F99000011DE","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4574","Let's Effing Go! #3232","ipfs://bafkreif5xxtuwadunx5elk4fg3o7a7a4w5rbh7m4qps5wdgioigarrdikm","bafkreif5xxtuwadunx5elk4fg3o7a7a4w5rbh7m4qps5wdgioigarrdikm","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafkreifwrcu4u5fjqf6xwfjimyy4z465coehlo3haivodhvz2e5c2ghx3m","bafkreifwrcu4u5fjqf6xwfjimyy4z465coehlo3haivodhvz2e5c2ghx3m","https://letseffinggo.com","","","Muted Tan","Straight White","If I Only Had A Brain","Buck","Concerned","Heartbreaks","Scarecrow","Banana"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BED97AE096000011DB","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4571","Let's Effing Go! #3027","ipfs://bafkreie7wpunlbwnafyubr7oqpv24dx2dcdih5nhgqzkxieqkposhhn45u","bafkreie7wpunlbwnafyubr7oqpv24dx2dcdih5nhgqzkxieqkposhhn45u","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeigwqi2anuxv2gzbqta3srdnv5f6lvm2lsz25bg3emirkx7ms6hmay","bafybeigwqi2anuxv2gzbqta3srdnv5f6lvm2lsz25bg3emirkx7ms6hmay","https://letseffinggo.com","","","Jaffa","Straight Grey","Kong Suit","Scared","Wicked Brow","Wavy","Kong Mask","None"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE7DE3A492000011D7","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4567","Let's Effing Go! #1475","ipfs://bafkreifqgfmbelfcr5qdc3te246ghsjbco5xkyp7nij433z4qut3z4sdba","bafkreifqgfmbelfcr5qdc3te246ghsjbco5xkyp7nij433z4qut3z4sdba","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeibvn5luad54kjzuxbhdpkho5x7ax7thjjws5qnhpngthpp3nywqeq","bafybeibvn5luad54kjzuxbhdpkho5x7ax7thjjws5qnhpngthpp3nywqeq","https://letseffinggo.com","","","Moon Grave","Straight Burned","Kreuger Sweater","Buck","Concerned","Heartbreaks","Fredora","Freddy Claws"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE66FDD791000011D6","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4566","Let's Effing Go! #1475","ipfs://bafkreiaqmycw7nrh24kufb7aanfcpgulebwrep24v35mbymcnjajtleuim","bafkreiaqmycw7nrh24kufb7aanfcpgulebwrep24v35mbymcnjajtleuim","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeidkpp6xbefsi6exibeovqlssaswsdp44cjipxypa2t4e7v7afuqvq","bafybeidkpp6xbefsi6exibeovqlssaswsdp44cjipxypa2t4e7v7afuqvq","https://letseffinggo.com","","","Gradient Pink Blue","Straight Burned","Badass Leather","Buck","Concerned","Heartbreaks","Chicken Head","Freddy Claws"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE3932298F000011D4","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4564","Let's Effing Go! #2901","ipfs://bafkreigfnjy3qqxebmw323n5raabogu4gjipcpjncsy2tqoxle26fqu4hy","bafkreigfnjy3qqxebmw323n5raabogu4gjipcpjncsy2tqoxle26fqu4hy","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","ipfs://bafybeiead3d7m2ynvcfryvmhjstuexdy3fp7puxr7plxez77n4z3g5g23m","bafybeiead3d7m2ynvcfryvmhjstuexdy3fp7puxr7plxez77n4z3g5g23m","https://letseffinggo.com","","","Reef Gold","Straight Medium","Wolfy","Hopeful","Emo","Its Alive","Werewolf","Devil Pitchfork"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE224C588E000011D3","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4563","Let's Effing Go! #1320","ipfs://bafkreibmaq6gjdvl6oem7z2sgqxeeedywgvsowhldpji7lti5ok2jla7ha","bafkreibmaq6gjdvl6oem7z2sgqxeeedywgvsowhldpji7lti5ok2jla7ha","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 2","ipfs://bafybeiecnoq3cyjjktzqrx7qptwywbj2kucu74nv5earzseiwwvanhdktq","bafybeiecnoq3cyjjktzqrx7qptwywbj2kucu74nv5earzseiwwvanhdktq","https://letseffinggo.com","ipfs://bafybeihfjhphemidytq6hgnohm7icvr4o2sugaugd57tkikwcxjdutk42q","bafybeihfjhphemidytq6hgnohm7icvr4o2sugaugd57tkikwcxjdutk42q","Claw Diamond","Straight Diamond","City of Angels","Monster","Transylvanian","Goggles","Superbowl Rams","Lightsaber Green"
"00091B58D1AE1BC312BEF9C68233FB0C8CF6A338F7C227BE0B668B8D000011D2","rLfgoMintj3KBcs4s2XKtquvDwEte2kYfJ","1760","4562","Let's Effing Go! #1396","ipfs://bafkreifc7xtk6ya3ifq36sg7krrx27g3oow5utcxyjxru5jzs5xi4cjo2i","bafkreifc7xtk6ya3ifq36sg7krrx27g3oow5utcxyjxru5jzs5xi4cjo2i","","ipfs://QmNpi8rcXEkohca8iXu7zysKKSJYqCvBJn3xJwga8jXqWU","Season 3","ipfs://bafybeidczu36hm2ygcrm4yf2pjcwmgk6xma2rmo243jbafzrxj76wzplty","bafybeidczu36hm2ygcrm4yf2pjcwmgk6xma2rmo243jbafzrxj76wzplty","https://letseffinggo.com","ipfs://bafybeibwluirwlo5zh4mpqcu4crt6my63oh3tkxex56sagevbwdxescnc4","bafybeibwluirwlo5zh4mpqcu4crt6my63oh3tkxex56sagevbwdxescnc4","Blackhole","Straight Diamond","Greek","Wizard Beard","Eyebrows","Hypno","Paint Spill","Lightsaber Green"
